"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
1.296619432E0,-2.612328529E-1,-9.373404503E0,-3.200874329E-1
1.301443338E0,-2.244743109E-1,-9.471020699E0,-4.499778748E-1
1.306267296E0,-2.089456320E-1,-9.654642105E0,-3.695344925E-1
1.311091202E0,-3.376406431E-1,-9.718618393E0,-6.422605515E-1
1.315915109E0,-5.276119709E-1,-9.572780609E0,-7.709608078E-1
1.320739067E0,-5.760256052E-1,-9.113477707E0,-5.202856064E-1
1.325562973E0,-4.319413900E-1,-8.552042961E0,-3.614425659E-1
1.330386879E0,-4.290336370E-1,-8.256031036E0,-3.081445694E-1
1.335210838E0,-5.079385042E-1,-8.117015839E0,-2.331991196E-1
1.340034744E0,-5.166840553E-1,-7.934337139E0,-1.576776505E-1
1.344858702E0,-4.533944130E-1,-7.701141834E0,-3.808784485E-2
1.349682609E0,-3.252146244E-1,-7.463115215E0,1.212844849E-1
1.354506567E0,-1.494103670E-1,-7.460891247E0,2.039909363E-2
1.359330473E0,-6.709659100E-2,-7.393051147E0,3.522872925E-2
1.364154379E0,-2.375340462E-2,-7.381247520E0,-8.685588837E-2
1.368978338E0,1.613048315E-1,-7.522857666E0,-4.239444733E-1
1.373802244E0,3.344358206E-1,-7.550287247E0,-4.506969452E-1
1.378626202E0,1.997492909E-1,-7.516087532E0,-5.924072266E-1
1.383450109E0,1.832666397E-1,-7.608593464E0,-9.392976761E-1
1.388274015E0,2.442910075E-1,-7.772229195E0,-1.178394318E0
1.393097973E0,4.444229603E-1,-8.032714844E0,-1.307975769E0
1.397921879E0,6.058678031E-1,-8.220108032E0,-1.373997688E0
1.402745838E0,5.737166405E-1,-8.574916840E0,-1.419751167E0
1.407569744E0,3.868789673E-1,-9.014964104E0,-1.500225067E0
1.412393650E0,2.562883496E-1,-9.494004250E0,-1.579689980E0
1.417217609E0,1.554299593E-1,-9.937426567E0,-1.472323418E0
1.422041515E0,4.087883234E-2,-1.008305073E1,-1.226607323E0
1.426865421E0,1.330262423E-1,-9.977671623E0,-8.813886642E-1
1.431689379E0,1.194210649E-1,-9.884823799E0,-8.376960754E-1
1.436513338E0,1.279978156E-1,-9.990784645E0,-5.892505646E-1
1.441337244E0,1.010231972E-1,-1.011849308E1,-3.158845901E-1
1.446161150E0,1.201784611E-2,-1.015134525E1,-2.922134399E-1
1.450985109E0,-1.418379545E-1,-1.012114525E1,-1.671915054E-1
1.455809015E0,-2.571247816E-1,-9.973615646E0,-1.464643478E-1
1.460632973E0,-2.942159176E-1,-9.902727127E0,-2.083024979E-1
1.465456879E0,-2.405930758E-1,-9.868374825E0,4.332256317E-2
1.470280786E0,-1.853455305E-1,-9.832809448E0,1.590652466E-1
1.475104744E0,-2.831274271E-1,-9.801133156E0,9.188270569E-2
1.479928650E0,-4.325806499E-1,-9.571207047E0,2.218484879E-1
1.484752609E0,-4.252854586E-1,-9.023343086E0,5.271682739E-1
1.489576515E0,-4.461200833E-1,-8.531910896E0,9.098873138E-1
1.494400421E0,-4.685415626E-1,-7.995401382E0,1.301039696E0
1.499224379E0,-5.280327201E-1,-7.974761486E0,1.307457924E0
1.504048286E0,-5.764404535E-1,-7.934404373E0,1.114330292E0
1.508872244E0,-6.914442778E-1,-7.707812309E0,1.263898849E0
1.513696150E0,-1.048711061E0,-7.615260601E0,1.154147148E0
1.518520057E0,-1.091010809E0,-7.627428532E0,8.311157227E-1
1.523344015E0,-1.016027808E0,-7.669953346E0,5.576372147E-1
1.528167921E0,-9.329324365E-1,-7.764119148E0,4.668979645E-1
1.532991879E0,-8.095769882E-1,-7.940413475E0,4.483890533E-1
1.537815786E0,-7.586072683E-1,-7.981278896E0,2.584066391E-1
1.542639692E0,-8.495357633E-1,-7.958372593E0,-2.491950989E-3
1.547463650E0,-8.051266074E-1,-8.121878624E0,-1.552963257E-1
1.552287557E0,-6.936443448E-1,-8.458707809E0,-2.337656021E-1
1.557111515E0,-8.967964053E-1,-8.760035515E0,-2.667207718E-1
1.561935421E0,-1.256103992E0,-9.108524323E0,-4.831953049E-1
1.566759379E0,-1.070681930E0,-9.369771004E0,-5.866842270E-1
1.571583286E0,-1.135774493E0,-9.352760315E0,-5.296926498E-1
1.576407192E0,-1.344454765E0,-9.394289970E0,-4.890861511E-1
1.581231150E0,-1.223474264E0,-9.450842857E0,-3.788585663E-1
1.586055057E0,-1.264199257E0,-9.597913742E0,-4.330186844E-1
1.590879015E0,-1.369079947E0,-9.555651665E0,-5.104274750E-1
1.595702921E0,-1.495035648E0,-9.426827431E0,-6.350317001E-1
1.600526827E0,-1.461196899E0,-9.349823952E0,-7.305955887E-1
1.605350786E0,-1.402338624E0,-9.250460625E0,-7.808218002E-1
1.610174692E0,-1.450460196E0,-9.135851860E0,-8.766946793E-1
1.614998598E0,-1.517222404E0,-8.989420891E0,-9.275646210E-1
1.619822557E0,-1.552822828E0,-8.859035492E0,-9.098196030E-1
1.624646463E0,-1.538628817E0,-8.663747787E0,-9.143810272E-1
1.629470421E0,-1.486958981E0,-8.385107040E0,-7.908992767E-1
1.634294327E0,-1.509592772E0,-8.054744720E0,-6.589584351E-1
