"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)"
6.857154730E-1,-1.459621787E0,-1.058584690E1,9.978070259E0
6.881274520E-1,-1.497906923E0,-1.055713367E1,1.007378292E1
6.905393790E-1,-1.493121386E0,-1.060020447E1,1.029392338E1
6.929513590E-1,-1.416550994E0,-1.063848972E1,1.045663452E1
6.953633380E-1,-1.450050473E0,-1.061934662E1,1.041835022E1
6.977753170E-1,-1.517049551E0,-1.048534870E1,1.019820976E1
7.001872440E-1,-1.655833244E0,-1.038485050E1,1.003071213E1
7.025992230E-1,-1.741974831E0,-1.027478027E1,1.004506969E1
7.050112020E-1,-1.765903115E0,-1.018863869E1,1.018385315E1
7.074231290E-1,-1.780260086E0,-1.002592659E1,1.035613632E1
7.098351090E-1,-1.818545222E0,-9.853643417E0,1.042792130E1
7.122470880E-1,-1.856830359E0,-9.705288887E0,1.042792130E1
7.146590670E-1,-1.914258122E0,-9.451649666E0,1.049970531E1
7.170709940E-1,-1.923829436E0,-9.236295700E0,1.062891865E1
7.194829730E-1,-1.947757602E0,-9.107083321E0,1.076291656E1
7.218949520E-1,-1.962114573E0,-8.992227554E0,1.082034397E1
7.243068790E-1,-2.019542217E0,-8.934800148E0,1.077727318E1
7.267188590E-1,-2.067398787E0,-8.824729919E0,1.074855900E1
7.291308380E-1,-2.053041935E0,-8.685946465E0,1.082034397E1
7.315428170E-1,-1.957328916E0,-8.470592499E0,1.093519974E1
7.339547440E-1,-1.866401672E0,-8.260024071E0,1.106441212E1
7.363667230E-1,-1.804188251E0,-8.216953278E0,1.107876873E1
7.387787020E-1,-1.804188251E0,-8.178668022E0,1.101655579E1
7.411906290E-1,-1.708475351E0,-8.169096947E0,1.095434189E1
7.436026090E-1,-1.507478237E0,-8.154739380E0,1.099262714E1
7.460145880E-1,-1.416550994E0,-8.111668587E0,1.105484104E1
7.484265670E-1,-1.354337573E0,-8.135597229E0,1.097348499E1
7.508384940E-1,-1.349551916E0,-8.159524918E0,1.081555843E1
7.532504730E-1,-1.368694544E0,-8.126026154E0,1.068634605E1
7.556624520E-1,-1.440479279E0,-8.111668587E0,1.052363396E1
7.580743790E-1,-1.445264935E0,-8.116454124E0,1.036092186E1
7.604863590E-1,-1.359123230E0,-8.102097511E0,1.020299530E1
7.628983380E-1,-1.311266780E0,-8.049455643E0,1.001635551E1
7.653103170E-1,-1.263410330E0,-8.020741463E0,9.863214493E0
7.677222440E-1,-1.148554921E0,-8.006384850E0,9.834501266E0
7.701342230E-1,-1.129412293E0,-8.030312538E0,9.772287369E0
7.725462020E-1,-1.172483087E0,-8.092526436E0,9.671789169E0
7.749581290E-1,-1.148554921E0,-8.307880402E0,9.442078590E0
7.773701090E-1,-1.316052437E0,-8.441878319E0,9.202795982E0
7.797820880E-1,-1.368694544E0,-8.528019905E0,9.064012527E0
7.821940670E-1,-1.086341500E0,-8.700303078E0,8.992227554E0
7.846059940E-1,-7.322037220E-1,-8.944371223E0,8.949156761E0
7.870179730E-1,-5.647061467E-1,-9.159725189E0,8.920442581E0
7.894299520E-1,-6.556333899E-1,-9.274580956E0,8.910871506E0
7.918418790E-1,-8.039883971E-1,-9.327222824E0,8.867800713E0
7.942538590E-1,-9.810572863E-1,-9.351150513E0,8.810373306E0
7.966658380E-1,-1.186840057E0,-9.399007797E0,8.714659691E0
7.990777130E-1,-1.330409408E0,-9.585647583E0,8.642875671E0
8.014897440E-1,-1.335195065E0,-9.753145218E0,8.595019341E0
8.039017230E-1,-1.320838094E0,-9.805787086E0,8.604590416E0
8.063137020E-1,-1.339980721E0,-9.815358162E0,8.623732567E0
8.087256290E-1,-1.354337573E0,-9.839286804E0,8.585447311E0
8.111376090E-1,-1.373480201E0,-9.815358162E0,8.580661774E0
8.135495880E-1,-1.426122308E0,-9.743574142E0,8.575876236E0
8.159615150E-1,-1.545763373E0,-9.705288887E0,8.571090698E0
8.183734940E-1,-1.641476393E0,-9.748359680E0,8.561519623E0
8.207854730E-1,-1.622333765E0,-9.824930191E0,8.528019905E0
8.231974520E-1,-1.631905079E0,-9.944570541E0,8.547162056E0
